,DOI,Publisher
0,10.35848,IOP Publishing
1,10.1209,IOP Publishing
2,10.1088,IOP Publishing
3,10.1238,IOP Publishing
4,10.1070,IOP Publishing
5,10.1365,Springer Fachmedien Wiesbaden GmbH
6,10.1528,SAGE Publications
7,10.1606,SAGE Publications
8,10.12679,SAGE Publications
9,10.3821,SAGE Publications
10,10.4137,SAGE Publications
11,10.1345,SAGE Publications
12,10.2511,SAGE Publications
13,10.1106,SAGE Publications
14,10.1622,SAGE Publications
15,10.1369,SAGE Publications
16,10.4219,SAGE Publications
17,10.14240,SAGE Publications
18,10.4135,SAGE Publications
19,10.5126,SAGE Publications
20,10.5367,SAGE Publications
21,10.5301,SAGE Publications
22,10.1243,SAGE Publications
23,10.7182,SAGE Publications
24,10.2190,SAGE Publications
25,10.47515,SAGE Publications
26,10.3818,SAGE Publications
27,10.2968,SAGE Publications
28,10.47594,SAGE Publications
29,10.1630,SAGE Publications
30,10.1354,SAGE Publications
31,10.1258,SAGE Publications
32,10.15256,SAGE Publications
33,10.3317,SAGE Publications
34,10.31124,SAGE Publications
35,10.5034,SAGE Publications
36,10.2182,SAGE Publications
37,10.17322,SAGE Publications
38,10.5153,SAGE Publications
39,10.1177,SAGE Publications
40,10.2189,SAGE Publications
41,10.1191,SAGE Publications
42,10.5193,SAGE Publications
43,10.1506,Wiley
44,10.1901,Wiley
45,10.3401,Wiley
46,10.1301,Wiley
47,10.1348,Wiley
48,10.2755,Wiley
49,10.4218,Wiley
50,10.3405,Wiley
51,10.3162,Wiley
52,10.3322,Wiley
53,10.1581,Wiley
54,10.1516,Wiley
55,10.1113,Wiley
56,10.1112,Wiley
57,10.1634,Wiley
58,10.1359,Wiley
59,10.1118,Wiley
60,10.2966,Wiley
61,10.1592,Wiley
62,10.1196,Wiley
63,10.21815,Wiley
64,10.2164,Wiley
65,10.1111,Wiley
66,10.1034,Wiley
67,10.3170,Wiley
68,10.14814,Wiley
69,10.2136,Wiley
70,10.1002,Wiley
71,10.1046,Wiley
72,10.2135,Wiley
73,10.4319,Wiley
74,10.1526,Wiley
75,10.1889,Wiley
76,10.7863,Wiley
77,10.4195,Wiley
78,10.18934,Wiley
79,10.2134,Wiley
80,10.2903,Wiley
81,10.1256,Wiley
82,10.1576,Wiley
83,10.1897,Wiley
84,10.2746,Wiley
85,10.5694,Wiley
86,10.1096,Wiley
87,10.5054,Wiley
88,10.4284,Wiley
89,10.1890,Wiley
90,10.4004,Wiley
91,10.1892,Wiley
92,10.1051,EDP Sciences
93,10.9742,EDP Sciences
94,10.2516,EDP Sciences
95,10.2515,EDP Sciences
96,10.1556,Akademiai Kiado Zrt.
97,10.3834,Digital Science Press (Urotoday International Journal)
98,10.20471,Sestre Milosrdnice University Hospital Center (KBC Sestre milosrdnice)
99,10.1159,S. Karger AG
100,10.36253,Firenze University Press
101,10.36405,Firenze University Press
102,10.15560,Pensoft Publishers
103,10.3897,Pensoft Publishers
104,10.18258,Experiment
105,10.7135,Cambridge University Press (CUP)
106,10.3815,Cambridge University Press (CUP)
107,10.5949,Cambridge University Press (CUP)
108,10.1375,Cambridge University Press (CUP)
109,10.7313,Cambridge University Press (CUP)
110,10.1154,Cambridge University Press (CUP)
111,10.4039,Cambridge University Press (CUP)
112,10.5948,Cambridge University Press (CUP)
113,10.1017,Cambridge University Press (CUP)
114,10.33774,Cambridge University Press (CUP)
115,10.1529,Elsevier BV
116,10.14219,Elsevier BV
117,10.1367,Elsevier BV
118,10.1205,Elsevier BV
119,10.1006,Elsevier BV
120,10.2139,Elsevier BV
121,10.3921,Elsevier BV
122,10.3129,Elsevier BV
123,10.1602,Elsevier BV
124,10.1580,Elsevier BV
125,10.1240,Elsevier BV
126,10.1383,Elsevier BV
127,10.7424,Elsevier BV
128,10.1067,Elsevier BV
129,10.21967,Elsevier BV
130,10.2111,Elsevier BV
131,10.2353,Elsevier BV
132,10.3182,Elsevier BV
133,10.3816,Elsevier BV
134,10.1157,Elsevier BV
135,10.1533,Elsevier BV
136,10.1016,Elsevier BV
137,10.1378,Elsevier BV
138,10.7811,Elsevier BV
139,10.4065,Elsevier BV
140,10.7399,Elsevier BV
141,10.1197,Elsevier BV
142,10.1054,Elsevier BV
143,10.1053,Elsevier BV
144,10.1331,Elsevier BV
145,10.1078,Elsevier BV
146,10.25013,Elsevier BV
147,10.57603,Pacini Editore
148,10.57604,Pacini Editore
149,10.36150,Pacini Editore
150,10.14639,Pacini Editore
151,10.36185,Pacini Editore
152,10.48279,Pacini Editore
153,10.36149,Pacini Editore
154,10.5031,RIA
155,10.33392,Jagiellonian University
156,10.5506,Jagiellonian University
157,10.7498,"Acta Physica Sinica, Chinese Physical Society and Institute of Physics, Chinese Academy of Sciences"
158,10.4175,Frontiers Media SA
159,10.3389,Frontiers Media SA
160,10.1989,MDPI AG
161,10.32545,MDPI AG
162,10.20944,MDPI AG
163,10.3390,MDPI AG
164,10.35995,MDPI AG
165,10.1123,Human Kinetics
166,10.20882,Socidrogalcohol
167,10.31399,ASM International
168,10.33073,Polish Society of Microbiologists
169,10.4208,Global Science Press
170,10.36144,Walter de Gruyter GmbH
171,10.2202,Walter de Gruyter GmbH
172,10.3884,Walter de Gruyter GmbH
173,10.2478,Walter de Gruyter GmbH
174,10.1524,Walter de Gruyter GmbH
175,10.1515,Walter de Gruyter GmbH
176,10.14432,Walter de Gruyter GmbH
177,10.5042,Emerald
178,10.35241,Emerald
179,10.1108,Emerald
180,10.17219,Wroclaw Medical University
181,10.12989,Techno-Press
182,10.20415,Electric
183,10.1364,Optica Publishing Group
184,10.1093,Oxford University Press (OUP)
185,10.3382,Oxford University Press (OUP)
186,10.5740,Oxford University Press (OUP)
187,10.2146,Oxford University Press (OUP)
188,10.1534,Oxford University Press (OUP)
189,10.1215,Duke University Press
190,10.12871,Pisa University Press
191,10.3233,IOS Press
192,10.1535,Intel
193,10.1063,AIP Publishing
194,10.15265,Georg Thieme Verlag KG
195,10.1160,Georg Thieme Verlag KG
196,10.5482,Georg Thieme Verlag KG
197,10.1055,Georg Thieme Verlag KG
198,10.3413,Georg Thieme Verlag KG
199,10.12687,Georg Thieme Verlag KG
200,10.3414,Georg Thieme Verlag KG
201,10.4338,Georg Thieme Verlag KG
202,10.15654,Georg Thieme Verlag KG
203,10.3415,Georg Thieme Verlag KG
204,10.15653,Georg Thieme Verlag KG
205,10.9778,CMA Impact Inc.
206,10.1503,CMA Impact Inc.
207,10.15586,Codon Publications
208,10.13076,AVES YAYINCILIK A.Ş.
209,10.4261,AVES YAYINCILIK A.Ş.
210,10.5152,AVES YAYINCILIK A.Ş.
211,10.5174,AVES YAYINCILIK A.Ş.
212,10.4170,AVES YAYINCILIK A.Ş.
213,10.20313,Asociacion Paleontologica Argentina
214,10.5710,Asociacion Paleontologica Argentina
215,10.48095,Care Comm
216,10.14735,Care Comm
217,10.1180,Mineralogical Society
218,10.1511,Sigma Xi
219,10.2959,Brill
220,10.1163,Brill
221,10.3920,Brill
222,10.22434,Brill
223,10.52004,Brill
224,10.23938,Gobierno de Navarra
225,10.14744,Kare Publishing
226,10.21044,Research Foundation
227,10.1071,CSIRO Publishing
228,10.46955,Ankara University
229,10.58608,Ankara University
230,10.33171,Ankara University
231,10.53838,Ankara University
232,10.53372,Ankara University
233,10.53447,Ankara University
234,10.58699,Ankara University
235,10.52037,Ankara University
236,10.54898,Ankara University
237,10.1684,John Libbey Eurotext
238,10.57048,Suomalainen tiedeakatemia
239,10.14241,Polskie Towarzystwo Geologiczne - Polish Geological Society
240,10.14657,Scuola Normale Superiore - Edizioni della Normale
241,10.2422,Scuola Normale Superiore - Edizioni della Normale
242,10.21037,AME Publishing Company
243,10.4103,Medknow
244,10.15380,Medknow
245,10.6219,Medknow
246,10.3417,Missouri Botanical Garden Press
247,10.1783,BMJ
248,10.1136,BMJ
249,10.35643,Informatio
250,10.1146,Annual Reviews
251,10.5260,Annual Reviews
252,10.47037,Applied Computational Electromagnetics Society
253,10.1631,Zhejiang University Press
254,10.54605,"Institute for Advanced Research, Shanghai University of Finance and Economics"
255,10.1115,ASME International
256,10.1139,Canadian Science Publishing
257,10.3354,Inter-Research Science Center
258,10.14321,Michigan State University Press
259,10.17355,Regio
260,10.2166,IWA Publishing
261,10.3366,Edinburgh University Press
262,10.1127,Schweizerbart
263,10.15298,KMK Scientific Press
264,10.1162,MIT Press
265,10.7551,MIT Press
266,10.31859,MIT Press
267,10.14191,Korean Meteorological Society
268,10.47781,ASIA-PACIFIC
269,10.61755,ODI
270,10.1615,Begell House
271,10.5751,"Resilience Alliance, Inc."
272,10.31614,Tech Science Press
273,10.1042,Portland Press Ltd.
274,10.3318,Royal Irish Academy
275,10.1098,The Royal Society
276,10.2217,Future Medicine Ltd
277,10.2220,Biomedical Research Press
278,10.52750,North Carolina State University
279,10.12938,BMFH Press
280,10.5582,International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA)
281,10.37360,MS-Editions
282,10.26599,Tsinghua University Press
283,10.3140,Czech Geological Survey
284,10.37453,Trio
285,10.4134,The Korean Mathematical Society
286,10.5365,"World Health Organization, Western Pacific Regional Office"
287,10.33832,NADIA
288,10.4143,Korean Cancer Association
289,10.31661,Salvia Medical Sciences Ltd
290,10.1484,Brepols Publishers NV
291,10.1043,Allen Press
292,10.2738,Higher Education Press
293,10.2533,Swiss Chemical Society
294,10.46234,Chinese Center for Disease Control and Prevention
295,10.26557,Litera
296,10.31635,Chinese Chemical Society
297,10.15326,COPD Foundation
298,10.1253,Japanese Circulation Society
299,10.3949,Cleveland Clinic Journal of Medicine
300,10.3909,IMR Press
301,10.31083,IMR Press
302,10.12892,IMR Press
303,10.12891,IMR Press
304,10.1188,Oncology Nursing Society (ONS)
305,10.2174,Bentham Science Publishers Ltd.
306,10.1649,Coleopterists Society
307,10.1654,Helminthological Society
308,10.24869,Medicinska Naklada d.o.o.
309,10.15836,Medicinska Naklada d.o.o.
310,10.5562,Croatian Chemical Society
311,10.5489,Canadian Urological Association Journal
312,10.25259,Scientific Scholar
313,10.12657,Bogucki Wydawnictwo Naukowe
314,10.5004,Desalination Publications
315,10.24976,Discovery Medicine
316,10.46656,ACCESS
317,10.14227,Dissolution Technologies
318,10.30677,Terra
319,10.1530,Bioscientifica
320,10.1677,Bioscientifica
321,10.37236,The Electronic Journal of Combinatorics
322,10.36896,Texas State University
323,10.58997,Texas State University
324,10.1499,Kent State University Press (Project Muse)
325,10.9755,"Faculty of Food and Agriculture, United Arab Emirates University"
326,10.1507,Japan Endocrine Society
327,10.1210,The Endocrine Society
328,10.3803,Korean Endocrine Society
329,10.1664,New York Entomological Society
330,10.3845,SEE
331,10.3112,Erdkunde
332,10.22514,MRE Press
333,10.7343,PAGEPress Publications
334,10.4081,PAGEPress Publications
335,10.23736,Edizioni Minerva Medica
336,10.6002,Baskent University
337,10.12772,The Korean Fiber Society
338,10.30430,Deutscher Fachverlag GmbH
339,10.1653,Florida Entomological Society
340,10.31044,Science & Technology
341,10.13073,Forest Products Society
342,10.1561,Now Publishers
343,10.46427,Geochemical Society
344,10.4154,Croatian Geological Survey
345,10.20341,Geologica Belgica
346,10.7306,Polish Geological Institute - National Research Institute (PGI-NRI)
347,10.3767,Naturalis Biodiversity Center
348,10.3324,Ferrata Storti Foundation (Haematologica)
349,10.1377,Health Affairs (Project Hope)
350,10.5812,Briefland
351,10.1655,Herpetologists League
352,10.1502,Wayne State University Press (Project Muse)
353,10.3745,Korea Information Processing Society
354,10.21077,"Central Marine Fisheries Research Institute, Kochi"
355,10.59467,Connect Journals
356,10.1287,Institute for Operations Research and the Management Sciences (INFORMS)
357,10.59671,Interciencia
358,10.18053,AccScience Publishing
359,10.36922,AccScience Publishing
360,10.11607,Quintessence Publishing
361,10.4018,IGI Global
362,10.5267,Growing Science
363,10.23797,Wachholtz Verlag GmbH
364,10.18240,Press of International Journal of Ophthalmology (IJO Press)
365,10.2316,ACTA Press
366,10.2507,DAAAM International
367,10.1099,Microbiology Society
368,10.5213,Korean Continence Society
369,10.4243,Hebrew University Magnes Press
370,10.37936,ECTI
371,10.14492,"Department of Mathematics, Hokkaido University"
372,10.1595,Johnson Matthey
373,10.3151,Japan Concrete Institute
374,10.36899,Pakistan Agricultural Scientists Forum
375,10.11948,"Wilmington Scientific Publisher, LLC"
376,10.1613,AI Access Foundation
377,10.5551,Japan Atherosclerosis Society
378,10.14449,Korean Breast Cancer Society
379,10.1083,Rockefeller University Press
380,10.1085,Rockefeller University Press
381,10.1084,Rockefeller University Press
382,10.47673,Rockefeller University Press
383,10.14218,Xia & He Publishing
384,10.4088,"Physicians Postgraduate Press, Inc"
385,10.57264,Becaris Publishing Limited
386,10.18474,Georgia Entomological Society
387,10.1564,Research Information Ltd.
388,10.3340,Korean Neurosurgical Society
389,10.2961,Japan Laser Processing Society
390,10.4283,The Korean Magnetics Society
391,10.7153,Element d.o.o.
392,10.21894,Malaysian Palm Oil Board
393,10.7900,Theta Foundation
394,10.1254,Japanese Pharmacological Society
395,10.2186,Japan Prosthodontic Society
396,10.5853,Korean Stroke Society
397,10.17743,Audio Engineering Society
398,10.1627,Japan Petroleum Institute
399,10.2317,Kansas Entomological Society
400,10.5303,The Korean Astronomical Society
401,10.3938,Korean Physical Society
402,10.6004,"Harborside Press, LLC"
403,10.36303,Medpharm Publications
404,10.3159,Torrey Botanical Society
405,10.13052,River Publishers
406,10.54146,AOSIS
407,10.4102,AOSIS
408,10.3344,Korean Pain Society
409,10.7742,The Korean Society of Radiology (KISTI)
410,10.12652,Korean Society of Civil Engineers
411,10.46883,MJH Life Sciences
412,10.47276,Lepra
413,10.2113,GeoScienceWorld
414,10.46725,Ivanovo State University
415,10.46724,Ivanovo State University
416,10.46726,Ivanovo State University
417,10.18083,Ivanovo State University
418,10.21064,Ivanovo State University
419,10.54347,Ivanovo State University
420,10.54348,Ivanovo State University
421,10.54279,Maejo University
422,10.4031,Marine Technology Society
423,10.1307,Michigan Mathematical Journal
424,10.15698,Shared Science Publishers OG
425,10.5711,Military Operations Research Society
426,10.15567,Croatian Dairy Union
427,10.1257,American Economic Association
428,10.26562,AM Publications
429,10.2176,Japan Neurosurgical Society
430,10.14245,The Korean Spinal Neurosurgery Society
431,10.1056,Massachusetts Medical Society
432,10.17410,Bologna University Press
433,10.30682,Bologna University Press
434,10.33494,Scion
435,10.5516,Korean Nuclear Society
436,10.20960,ARAN Ediciones
437,10.31059,Crimean Astrophysical Observatory
438,10.5670,The Oceanography Society
439,10.2341,Operative Dentistry
440,10.51812,BirdLife Finland
441,10.2305,IUCN
442,10.2140,Mathematical Sciences Publishers
443,10.58474,"Institute of Professional Psychology, Bahria University Karachi Campus, Pakistan"
444,10.58800,"Institute of Professional Psychology, Bahria University Karachi Campus, Pakistan"
445,10.26879,Coquina Press
446,10.15554,Precast/Prestressed Concrete Institute
447,10.7287,PeerJ
448,10.7717,PeerJ
449,10.3367,Uspekhi Fizicheskikh Nauk (UFN) Journal
450,10.11646,Magnolia Press
451,10.12976,Magnolia Press
452,10.14314,LUKASIEWICZ Research Network - Industrial Chemistry Research Institute
453,10.2485,Society for Hard Tissue Regenerative Biology
454,10.23855,Czech Botanical Society
455,10.19195,Wydawnictwo Uniwersytetu Wroclawskiego
456,10.2183,Japan Academy
457,10.1519,Ovid Technologies (Wolters Kluwer Health)
458,10.14309,Ovid Technologies (Wolters Kluwer Health)
459,10.1212,Ovid Technologies (Wolters Kluwer Health)
460,10.11124,Ovid Technologies (Wolters Kluwer Health)
461,10.1288,Ovid Technologies (Wolters Kluwer Health)
462,10.1203,Ovid Technologies (Wolters Kluwer Health)
463,10.2215,Ovid Technologies (Wolters Kluwer Health)
464,10.34067,Ovid Technologies (Wolters Kluwer Health)
465,10.1213,Ovid Technologies (Wolters Kluwer Health)
466,10.5435,Ovid Technologies (Wolters Kluwer Health)
467,10.1227,Ovid Technologies (Wolters Kluwer Health)
468,10.1249,Ovid Technologies (Wolters Kluwer Health)
469,10.2459,Ovid Technologies (Wolters Kluwer Health)
470,10.2106,Ovid Technologies (Wolters Kluwer Health)
471,10.1161,Ovid Technologies (Wolters Kluwer Health)
472,10.1681,Ovid Technologies (Wolters Kluwer Health)
473,10.1097,Ovid Technologies (Wolters Kluwer Health)
474,10.3760,Ovid Technologies (Wolters Kluwer Health)
475,10.46986,Ovid Technologies (Wolters Kluwer Health)
476,10.12740,Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego
477,10.14302,Open Access Pub
478,10.1068,Pion Ltd
479,10.26421,Rinton Press
480,10.56305,"Department of Medicine, Warren Alpert Medical School at Brown University"
481,10.1269,Japan Radiation Research Society
482,10.25135,ACG Publications
483,10.3853,Australian Museum
484,10.20467,Springer Publishing Company
485,10.1891,Springer Publishing Company
486,10.4187,Daedalus Enterprises
487,10.33044,Union Matematica Argentina
488,10.32811,Revista de Saude Publica do Parana
489,10.51796,Escola de Enfermagem de Ribeirao Preto
490,10.3119,New England Botanical Club
491,10.25120,James Cook University
492,10.3208,The Japanese Geotechnical Society
493,10.5705,Statistica Sinica (Institute of Statistical Science)
494,10.3114,Westerdijk Fungal Biodiversity Institute
495,10.57187,SMW Supporting Association
496,10.16993,Stockholm University Press
497,10.26442,Consilium Medicum
498,10.36504,Consilium Medicum
499,10.14503,Texas Heart Institute Journal
500,10.4186,"Faculty of Engineering, Chulalongkorn University"
501,10.18332,European Publishing
502,10.1620,Tohoku University Medical Press
503,10.2748,"Mathematical Institute, Tohoku University"
504,10.3959,Tree-Ring Society
505,10.5606,Baycinar Tibbi Yayincilik
506,10.4194,Central Fisheries Research Institute (SUMAE)
507,10.5137,Turkish Neurosurgical Society
508,10.1675,Waterbird Society
509,10.1676,Wilson Ornithological Society
510,10.35713,Baishideng Publishing Group Inc.
511,10.11569,Baishideng Publishing Group Inc.
512,10.12998,Baishideng Publishing Group Inc.
513,10.5306,Baishideng Publishing Group Inc.
514,10.4239,Baishideng Publishing Group Inc.
515,10.13105,Baishideng Publishing Group Inc.
516,10.5501,Baishideng Publishing Group Inc.
517,10.35712,Baishideng Publishing Group Inc.
518,10.5409,Baishideng Publishing Group Inc.
519,10.3748,Baishideng Publishing Group Inc.
520,10.35711,Baishideng Publishing Group Inc.
521,10.5528,Baishideng Publishing Group Inc.
522,10.5527,Baishideng Publishing Group Inc.
523,10.4252,Baishideng Publishing Group Inc.
524,10.5320,Baishideng Publishing Group Inc.
525,10.4253,Baishideng Publishing Group Inc.
526,10.4330,Baishideng Publishing Group Inc.
527,10.4251,Baishideng Publishing Group Inc.
528,10.5500,Baishideng Publishing Group Inc.
529,10.4254,Baishideng Publishing Group Inc.
530,10.4331,Baishideng Publishing Group Inc.
531,10.5662,Baishideng Publishing Group Inc.
532,10.5321,Baishideng Publishing Group Inc.
533,10.4292,Baishideng Publishing Group Inc.
534,10.4291,Baishideng Publishing Group Inc.
535,10.5317,Baishideng Publishing Group Inc.
536,10.5316,Baishideng Publishing Group Inc.
537,10.5315,Baishideng Publishing Group Inc.
538,10.5314,Baishideng Publishing Group Inc.
539,10.37126,Baishideng Publishing Group Inc.
540,10.5319,Baishideng Publishing Group Inc.
541,10.4329,Baishideng Publishing Group Inc.
542,10.5318,Baishideng Publishing Group Inc.
543,10.5496,Baishideng Publishing Group Inc.
544,10.5495,Baishideng Publishing Group Inc.
545,10.5494,Baishideng Publishing Group Inc.
546,10.4240,Baishideng Publishing Group Inc.
547,10.5493,Baishideng Publishing Group Inc.
548,10.5412,Baishideng Publishing Group Inc.
549,10.5313,Baishideng Publishing Group Inc.
550,10.5499,Baishideng Publishing Group Inc.
551,10.5411,Baishideng Publishing Group Inc.
552,10.5312,Baishideng Publishing Group Inc.
553,10.5498,Baishideng Publishing Group Inc.
554,10.5410,Baishideng Publishing Group Inc.
555,10.5497,Baishideng Publishing Group Inc.
556,10.5492,Baishideng Publishing Group Inc.
557,10.25270,"HMP Communications, LLC"
